iteration,prob_high,du_count,count_high,parent_mean_high,parent_sd_high,parent_mean_low,parent_sd_low,pilot_du_count,pilot_ucl,action_level,pilot_ratio,count_pilot_ucl_exceeds,count_true_mean_exceeds,prop_pilot_ucl_exceeds,prop_true_mean_exceeds,a,b,match,match_desc
1,0.12125916,100,9,600,900,100,150,28,213.4940894,4102.96727,0.052034071,0,0,0,0,1,1,4,Compliance - Correct
2,0.096266688,100,6,600,900,100,150,33,239.3392723,300.1647241,0.79735976,8,6,0.242424242,0.06,0,0,1,Not in Compliance - Correct
3,0.098188145,100,14,600,900,100,150,74,282.3841223,5278.134088,0.053500748,0,0,0,0,1,1,4,Compliance - Correct
4,0.181116124,100,19,600,900,100,150,35,258.1005783,2817.387974,0.091609881,0,0,0,0,1,1,4,Compliance - Correct
5,0.1062384,100,11,600,900,100,150,41,318.8938205,4202.917493,0.075874395,0,0,0,0,1,1,4,Compliance - Correct
6,0.221882426,100,22,600,900,100,150,54,421.6824203,789.9970429,0.533777214,8,5,0.148148148,0.05,0,0,1,Not in Compliance - Correct
7,0.105178253,100,7,600,900,100,150,16,242.4795095,3789.888407,0.063980646,0,0,0,0,1,1,4,Compliance - Correct
8,0.202612078,100,19,600,900,100,150,35,481.3437777,933.7062104,0.51551952,5,2,0.142857143,0.02,0,0,1,Not in Compliance - Correct
9,0.126040504,100,14,600,900,100,150,48,366.0831604,4062.660169,0.090109225,0,0,0,0,1,1,4,Compliance - Correct
10,0.235036033,100,20,600,900,100,150,61,399.7046791,4572.811141,0.087408963,0,0,0,0,1,1,4,Compliance - Correct
11,0.090651865,100,7,600,900,100,150,37,174.3515092,3874.629175,0.044998244,0,0,0,0,1,1,4,Compliance - Correct
12,0.183031762,100,16,600,900,100,150,87,408.7691966,4899.510211,0.083430624,2,0,0.022988506,0,0,1,2,Not in Compliance - Error
13,0.142198769,100,13,600,900,100,150,15,244.3493391,4851.531929,0.050365399,0,0,0,0,1,1,4,Compliance - Correct
14,0.201948606,100,26,600,900,100,150,48,328.7749912,867.4531721,0.379011803,3,2,0.0625,0.02,0,0,1,Not in Compliance - Correct
15,0.105652552,100,10,600,900,100,150,12,643.301895,1675.279804,0.383996687,1,0,0.083333333,0,0,1,2,Not in Compliance - Error
16,0.075809623,100,5,600,900,100,150,72,223.9747887,1006.483511,0.222532,2,0,0.027777778,0,0,1,2,Not in Compliance - Error
17,0.066999187,100,10,600,900,100,150,85,347.3140871,332.0827372,1.04586613,19,9,0.223529412,0.09,0,0,1,Not in Compliance - Correct
18,0.246772921,100,24,600,900,100,150,89,348.9466972,3536.530665,0.098669213,0,0,0,0,1,1,4,Compliance - Correct
19,0.121446805,100,15,600,900,100,150,86,366.8238783,1976.537087,0.18558917,1,0,0.011627907,0,0,1,2,Not in Compliance - Error
20,0.09909319,100,11,600,900,100,150,23,227.7231475,4909.634638,0.046382911,0,0,0,0,1,1,4,Compliance - Correct
21,0.20479252,100,19,600,900,100,150,36,262.0778559,5933.817985,0.044166817,0,0,0,0,1,1,4,Compliance - Correct
22,0.165676277,100,16,600,900,100,150,62,272.1070407,471.9272486,0.576586839,8,14,0.129032258,0.14,0,0,1,Not in Compliance - Correct
23,0.140809065,100,14,600,900,100,150,21,324.7366983,3963.847663,0.081924616,0,0,0,0,1,1,4,Compliance - Correct
24,0.130662098,100,15,600,900,100,150,34,366.5211891,455.9823678,0.803805618,6,12,0.176470588,0.12,0,0,1,Not in Compliance - Correct
25,0.218566975,100,27,600,900,100,150,15,224.0221756,1786.18814,0.125419137,0,0,0,0,1,1,4,Compliance - Correct
26,0.058736715,100,2,600,900,100,150,64,220.8518149,1955.227877,0.112954514,0,0,0,0,1,1,4,Compliance - Correct
27,0.09391445,100,8,600,900,100,150,58,297.2001781,5996.563326,0.049561751,0,0,0,0,1,1,4,Compliance - Correct
28,0.059712473,100,7,600,900,100,150,27,238.199371,2800.90751,0.08504364,0,0,0,0,1,1,4,Compliance - Correct
29,0.218444794,100,19,600,900,100,150,89,334.83025,1667.729892,0.200770072,1,0,0.011235955,0,0,1,2,Not in Compliance - Error
30,0.08564219,100,8,600,900,100,150,21,288.3752501,5510.259885,0.052334238,0,0,0,0,1,1,4,Compliance - Correct
